local_ts,breathing_rate,breathing_signal,accel_x,accel_y,accel_z,bs_timestamp,rs_ts,activity_level,current_exercise,pred_exercise
1585225739607,NaN,-0.20009746,0.11352539,-0.8972168,0.45092773,1585225736724,4237897656061,0.07073719,0,1
1585225739608,NaN,-0.22975051,0.10131836,-0.8679199,0.43408203,1585225736804,4237897656061,0.07073719,0,1
1585225739610,NaN,-0.24966691,0.10620117,-0.8769531,0.44360352,1585225736884,4237897656061,0.07073719,0,1
1585225739625,NaN,-0.2629626,0.10668945,-0.8835449,0.4182129,1585225736964,4237897656061,0.07073719,0,1
1585225739654,NaN,-0.24204004,0.11206055,-0.89331055,0.41088867,1585225737044,4237897656061,0.07073719,0,1
1585225739656,NaN,-0.21828859,0.14257812,-0.89208984,0.41796875,1585225737124,4237897656061,0.07073719,0,1
1585225739657,NaN,-0.14220697,0.14819336,-0.8937988,0.42895508,1585225737204,4237897656061,0.07073719,0,1
1585225739658,NaN,-0.09270632,0.13183594,-0.8894043,0.42211914,1585225737284,4237897656061,0.07073719,0,1
1585225739678,NaN,-0.05231754,0.13012695,-0.8869629,0.42919922,1585225737364,4237897656061,0.07073719,0,1
1585225739679,NaN,-0.0069383583,0.12182617,-0.8937988,0.4177246,1585225737444,4237897656061,0.07073719,0,1
1585225739681,NaN,0.045215648,0.1352539,-0.8820801,0.4309082,1585225737524,4237897656061,0.07073719,0,1
1585225739683,30.0,0.10139527,0.123291016,-0.8881836,0.4333496,1585225737604,4237897656061,0.07073719,0,1
1585225739686,NaN,0.13080679,0.12695312,-0.8798828,0.43017578,1585225737684,4237897656061,0.07073719,0,1
1585225739687,NaN,0.15200792,0.11791992,-0.8864746,0.43676758,1585225737764,4237897656061,0.07073719,0,1
1585225739689,NaN,0.17255467,0.11352539,-0.8828125,0.43823242,1585225737844,4237897656061,0.0483953,0,1
1585225739690,NaN,0.15579055,0.10961914,-0.8840332,0.43847656,1585225737924,4237897656061,0.035931826,0,1
1585225739691,NaN,0.11128571,0.1237793,-0.88720703,0.44140625,1585225738004,4237897656061,0.035931826,0,1
1585225739692,NaN,0.07361711,0.119384766,-0.88061523,0.44140625,1585225738084,4237897656061,0.035931826,0,1
1585225739694,NaN,0.047724422,0.11254883,-0.88623047,0.43847656,1585225738164,4237897656061,0.035931826,0,1
1585225739698,NaN,0.01591687,0.10083008,-0.8977051,0.43969727,1585225738244,4237897656061,0.035931826,0,1
1585225739701,NaN,-0.02652975,0.1237793,-0.8564453,0.45239258,1585225738324,4237897656061,0.04888973,0,1
1585225739705,NaN,-0.07145115,0.1303711,-0.89941406,0.44848633,1585225738404,4237897656061,0.04888973,0,1
1585225739709,NaN,-0.103312045,0.10131836,-0.8874512,0.44677734,1585225738484,4237897656061,0.04888973,0,1
1585225739712,NaN,-0.14087786,0.10839844,-0.8864746,0.45166016,1585225738564,4237897656061,0.04888973,0,1
1585225739716,NaN,-0.16742581,0.1484375,-0.87353516,0.4501953,1585225738644,4237897656061,0.04888973,0,1
1585225739721,NaN,-0.17434843,0.06982422,-0.87719727,0.43066406,1585225738724,4237897656061,0.081085935,0,1
1585225739724,NaN,-0.18132268,0.033203125,-0.8820801,0.43652344,1585225738804,4237897656061,0.081085935,0,1
1585225739728,NaN,-0.15713121,0.0012207031,-0.8925781,0.43408203,1585225738884,4237897656061,0.081085935,0,1
1585225739731,NaN,-0.10508898,-0.03125,-0.8901367,0.4206543,1585225738964,4237897656061,0.081085935,0,1
1585225739734,NaN,-0.03435582,-0.096191406,-0.88623047,0.41577148,1585225739044,4237897656061,0.081085935,0,1
1585225739737,NaN,0.019640863,-0.099609375,-0.88427734,0.4309082,1585225739124,4237897656061,0.081085935,0,1
1585225739740,37.5,0.09190279,-0.13793945,-0.88427734,0.42919922,1585225739204,4237897656061,0.081085935,0,1
1585225742178,NaN,0.23473541,-0.17651367,-0.89624023,0.44189453,1585225739284,-1958773956223,0.081085935,0,1
1585225742202,NaN,0.37569404,-0.18701172,-0.86987305,0.43701172,1585225739364,-1958773956223,0.081085935,0,1
1585225742207,NaN,0.52721363,-0.18066406,-0.859375,0.41210938,1585225739444,-1958773956223,0.081085935,0,1
1585225742212,NaN,0.65823585,-0.08569336,-0.86816406,0.40893555,1585225739524,-1958773956223,0.09542932,0,1
1585225742215,NaN,0.806662,-0.05078125,-0.94384766,0.43017578,1585225739604,-1958773956223,0.09542932,0,1
1585225742219,NaN,0.821445,0.044677734,-1.0546875,0.50146484,1585225739684,-1958773956223,0.16272682,0,1
1585225742223,NaN,0.80141145,0.18041992,-1.0214844,0.41455078,1585225739764,-1958773956223,0.16456744,0,1
1585225742225,NaN,0.7405421,0.33422852,-0.9030762,0.3112793,1585225739844,-1958773956223,0.21986948,0,1
1585225742228,NaN,0.7914081,0.34521484,-0.9746094,0.17382812,1585225739924,-1958773956223,0.21986948,0,1
1585225742232,NaN,0.87015516,0.28930664,-0.9416504,0.14941406,1585225740004,-1958773956223,0.21986948,0,1
1585225742236,NaN,0.9909069,0.3137207,-1.0024414,0.19824219,1585225740084,-1958773956223,0.21986948,0,1
1585225742238,NaN,1.0912963,0.24780273,-0.935791,0.22314453,1585225740164,-1958773956223,0.21986948,0,1
1585225742242,NaN,1.1678933,0.22753906,-0.9724121,0.24633789,1585225740244,-1958773956223,0.21986948,0,1
1585225742246,NaN,1.2197665,0.17626953,-0.93237305,0.28515625,1585225740324,-1958773956223,0.21986948,0,1
1585225742250,NaN,1.2497859,0.203125,-0.86938477,0.27978516,1585225740404,-1958773956223,0.21986948,0,1
1585225742254,NaN,1.287995,0.13232422,-0.84033203,0.25854492,1585225740484,-1958773956223,0.21986948,0,1
1585225742257,NaN,1.3572105,0.0012207031,-0.89282227,0.1706543,1585225740564,-1958773956223,0.21986948,0,1
1585225742261,NaN,1.6112083,-0.06982422,-0.84472656,0.09277344,1585225740644,-1958773956223,0.21986948,0,1
1585225742264,NaN,1.8685268,-0.028320312,-0.94311523,0.07446289,1585225740724,-1958773956223,0.21986948,0,1
1585225742266,NaN,2.0801146,-0.017822266,-0.9645996,0.09814453,1585225740804,-1958773956223,0.21986948,0,1
1585225742269,NaN,2.0980852,-0.004638672,-0.98706055,0.052001953,1585225740884,-1958773956223,0.21986948,0,1
1585225742272,NaN,2.0166676,0.0014648438,-0.9790039,0.11035156,1585225740964,-1958773956223,0.21986948,0,1
1585225742275,NaN,1.9193748,0.057128906,-0.95092773,0.12963867,1585225741044,-1958773956223,0.21986948,0,1
1585225742278,NaN,1.8560187,0.05834961,-0.8413086,0.11254883,1585225741124,-1958773956223,0.21986948,0,1
1585225742281,NaN,1.7584705,0.10107422,-0.8251953,0.12988281,1585225741204,-1958773956223,0.21986948,0,1
1585225742284,NaN,1.6561366,0.17797852,-0.8322754,0.18969727,1585225741284,-1958773956223,0.21986948,0,1
1585225742287,NaN,1.6509529,0.20605469,-0.8479004,0.09375,1585225741364,-1958773956223,0.21986948,0,1
