local_ts,breathing_rate,breathing_signal,accel_x,accel_y,accel_z,bs_timestamp,rs_ts,activity_level,current_exercise,pred_exercise
1584104880081,NaN,-1.8217198,-0.045898438,-0.8293457,0.51831055,1584104878811,-924946105119,0.1934526,4,1
1584104880084,NaN,-1.8742694,0.022216797,-0.84716797,0.53344727,1584104878891,-924946105119,0.1934526,4,1
1584104880087,NaN,-1.9706122,0.045898438,-0.8479004,0.52734375,1584104878971,-924946105119,0.1934526,4,1
1584104880091,NaN,-2.0091755,0.08544922,-0.8273926,0.48388672,1584104879051,-924946105119,0.1934526,4,1
1584104880094,NaN,-2.0663269,0.09277344,-0.8688965,0.4868164,1584104879131,-924946105119,0.1934526,4,1
1584104880097,NaN,-2.1307082,0.04663086,-0.8730469,0.46240234,1584104879211,-924946105119,0.1934526,4,1
1584104880100,NaN,-2.1057107,0.08081055,-0.8964844,0.46655273,1584104879291,-924946105119,0.1934526,4,1
1584104880103,NaN,-1.6696333,0.103271484,-0.8955078,0.453125,1584104879371,-924946105119,0.1934526,4,1
1584104880106,NaN,-1.2317092,0.09716797,-0.9055176,0.4482422,1584104879451,-924946105119,0.1934526,4,1
1584104880109,NaN,-0.67877287,0.15283203,-0.87646484,0.45214844,1584104879531,-924946105119,0.1934526,4,1
1584104880111,NaN,-0.19986136,0.09082031,-0.8781738,0.43774414,1584104879611,-924946105119,0.1934526,4,1
1584104880114,17.44186,0.2422489,0.08251953,-0.87475586,0.4465332,1584104879691,-924946105119,0.1934526,4,1
1584104880117,NaN,0.4556869,0.06982422,-0.86499023,0.47460938,1584104879771,-924946105119,0.1934526,4,1
1584104880120,NaN,0.60689765,0.032714844,-0.87524414,0.4897461,1584104879851,-924946105119,0.1934526,4,1
1584104880123,NaN,0.75912,0.044677734,-0.83032227,0.46435547,1584104879931,-924946105119,0.1934526,4,1
1584104880126,NaN,0.8314578,0.053710938,-0.8811035,0.48950195,1584104880011,-924946105119,0.1934526,4,1
1584104880129,NaN,0.8760012,0.061767578,-0.84716797,0.501709,1584104880091,-924946105119,0.1934526,4,1
1584104882401,NaN,0.92326623,0.05102539,-0.75878906,0.44580078,1584104880171,-7121336242427,0.1934526,4,1
1584104882408,NaN,0.8866338,-0.044433594,-0.8601074,0.48779297,1584104880251,-7121336242427,0.1934526,4,1
1584104882412,NaN,0.7516658,-0.030517578,-1.0600586,0.46362305,1584104880331,-7121336242427,0.20188688,4,1
1584104882420,NaN,0.7835925,0.035888672,-1.2224121,0.31176758,1584104880411,-7121336242427,0.23200978,4,1
1584104882423,NaN,NaN,0.16113281,-1.1225586,0.037841797,1584104880491,-7121336242427,0.31732026,4,1
1584104882427,NaN,NaN,0.29125977,-1.0620117,-0.0087890625,1584104880571,-7121336242427,0.31732026,4,1
1584104882431,NaN,NaN,0.22045898,-1.060791,0.015625,1584104880651,-7121336242427,0.31732026,4,1
1584104882435,NaN,NaN,0.20239258,-1.0061035,0.0043945312,1584104880731,-7121336242427,0.31732026,4,1
1584104882438,NaN,NaN,0.16992188,-0.9033203,0.0,1584104880811,-7121336242427,0.31732026,4,1
1584104882442,NaN,NaN,0.17651367,-0.8305664,0.06567383,1584104880891,-7121336242427,0.31732026,4,1
1584104882444,NaN,NaN,0.20996094,-0.84521484,0.103027344,1584104880971,-7121336242427,0.31732026,4,1
1584104882448,NaN,NaN,0.3022461,-0.8300781,0.18774414,1584104881051,-7121336242427,0.31732026,4,1
1584104882451,NaN,NaN,0.38134766,-0.91259766,0.19506836,1584104881131,-7121336242427,0.31732026,4,1
1584104882455,NaN,NaN,0.23486328,-0.84765625,0.36889648,1584104881211,-7121336242427,0.31732026,4,1
1584104882458,NaN,NaN,0.15942383,-0.85546875,0.31958008,1584104881291,-7121336242427,0.31732026,4,1
1584104882463,NaN,NaN,0.24829102,-0.8574219,0.4555664,1584104881371,-7121336242427,0.31732026,4,1
1584104882467,NaN,NaN,0.2421875,-0.888916,0.42919922,1584104881451,-7121336242427,0.31732026,4,1
1584104882471,NaN,NaN,0.17407227,-0.8757324,0.32250977,1584104881531,-7121336242427,0.31732026,4,1
1584104882476,NaN,NaN,0.039794922,-0.96362305,0.2722168,1584104881611,-7121336242427,0.31732026,4,1
1584104882479,NaN,NaN,-0.060546875,-0.96313477,0.37158203,1584104881691,-7121336242427,0.31732026,4,1
1584104882483,NaN,NaN,0.025390625,-0.9614258,0.3659668,1584104881771,-7121336242427,0.31732026,4,1
1584104882487,NaN,NaN,-0.050048828,-0.87524414,0.4165039,1584104881851,-7121336242427,0.31732026,4,1
1584104882490,NaN,NaN,-0.032958984,-0.8762207,0.40307617,1584104881931,-7121336242427,0.31732026,4,1
1584104882494,NaN,NaN,0.04345703,-0.88183594,0.4387207,1584104882011,-7121336242427,0.31732026,4,1
1584104882497,NaN,NaN,0.0024414062,-0.8730469,0.48242188,1584104882091,-7121336242427,0.31732026,4,1
1584104882501,NaN,NaN,0.02758789,-0.8581543,0.5097656,1584104882171,-7121336242427,0.31732026,4,1
1584104882504,NaN,NaN,-0.013183594,-0.8532715,0.49169922,1584104882251,-7121336242427,0.31732026,4,1
1584104882507,NaN,NaN,-0.03540039,-0.8676758,0.4946289,1584104882331,-7121336242427,0.31732026,4,1
1584104882510,NaN,NaN,-0.044921875,-0.8466797,0.5048828,1584104882411,-7121336242427,0.31732026,4,1
1584104882513,NaN,NaN,-0.048583984,-0.8405762,0.5029297,1584104882491,-7121336242427,0.31732026,4,1
1584104882516,NaN,NaN,-0.07373047,-0.8552246,0.5053711,1584104882571,-7121336242427,0.31732026,4,1
1584104882520,NaN,NaN,-0.06933594,-0.8222656,0.5107422,1584104882651,-7121336242427,0.31732026,4,1
1584104884983,NaN,NaN,-0.0847168,-0.8544922,0.5024414,1584104882731,5129017693973,0.31732026,4,1
1584104884987,NaN,NaN,-0.05908203,-0.8366699,0.51538086,1584104882811,5129017693973,0.31732026,4,1
1584104884991,NaN,NaN,-0.05444336,-0.8444824,0.52856445,1584104882891,5129017693973,0.31732026,4,1
1584104884995,NaN,NaN,-0.06591797,-0.842041,0.5161133,1584104882971,5129017693973,0.31732026,4,1
1584104884999,NaN,0.4555894,-0.07348633,-0.857666,0.51049805,1584104883051,5129017693973,0.23641336,4,1
1584104885004,NaN,0.19284229,-0.075927734,-0.86743164,0.47998047,1584104883131,5129017693973,0.23641336,4,1
1584104885008,NaN,-0.0397561,-0.06201172,-0.8725586,0.47314453,1584104883211,5129017693973,0.23641336,4,1
1584104885012,NaN,-0.14936204,-0.06225586,-0.87060547,0.4560547,1584104883291,5129017693973,0.23641336,4,1
1584104885016,NaN,-0.19692482,-0.068359375,-0.88964844,0.45507812,1584104883371,5129017693973,0.23641336,4,1
1584104885020,NaN,-0.24365829,-0.064453125,-0.8671875,0.44702148,1584104883451,5129017693973,0.23641336,4,1
1584104885023,NaN,-0.24554668,-0.04272461,-0.8791504,0.44213867,1584104883531,5129017693973,0.23641336,4,1
1584104885026,NaN,-0.19889815,-0.044677734,-0.87402344,0.44262695,1584104883611,5129017693973,0.23641336,4,1
1584104885029,NaN,-0.15241116,-0.038085938,-0.8676758,0.43579102,1584104883691,5129017693973,0.23641336,4,1
1584104885033,NaN,-0.07802888,-0.01953125,-0.8847656,0.50341797,1584104883771,5129017693973,0.16818011,4,1
1584104885036,NaN,-0.14800358,-0.0056152344,-0.88305664,0.47436523,1584104883851,5129017693973,0.16818011,4,1
1584104885039,NaN,-0.617968,-0.03125,-0.8630371,0.5078125,1584104883931,5129017693973,0.16818011,4,1
1584104885042,NaN,-0.4874765,-0.016357422,-0.8469238,0.5085449,1584104884011,5129017693973,0.16818011,4,1
1584104885046,NaN,-0.41506234,-0.05102539,-0.857666,0.5058594,1584104884091,5129017693973,0.16818011,4,1
1584104885051,NaN,-0.40018335,-0.040527344,-0.84814453,0.5449219,1584104884171,5129017693973,0.14121673,4,1
1584104885055,NaN,-0.44170102,-0.050048828,-0.8183594,0.5341797,1584104884251,5129017693973,0.1251894,4,1
1584104885059,NaN,-0.5192072,-0.061035156,-0.82714844,0.5407715,1584104884331,5129017693973,0.1251894,4,1
1584104885062,NaN,-0.59345883,-0.064453125,-0.83251953,0.5488281,1584104884411,5129017693973,0.08450723,4,1
1584104885065,NaN,-0.69717187,-0.07788086,-0.81933594,0.54174805,1584104884491,5129017693973,0.08450723,4,1
1584104885067,NaN,-0.8211656,-0.0625,-0.83032227,0.5644531,1584104884571,5129017693973,0.07217856,4,1
1584104885071,NaN,-0.9421305,-0.04321289,-0.81152344,0.548584,1584104884651,5129017693973,0.07217856,4,1
1584104885073,NaN,-1.0090567,-0.050048828,-0.82373047,0.54541016,1584104884731,5129017693973,0.07217856,4,1
