activity,x,y,z
0,2.61784759,3.39735042,3.94757921
1,4.23047537,4.17951911,6.77553657
2,5.84702105,4.94386457,3.60586245
3,7.40969588,5.29871081,4.10340495
4,5.07722805,9.16849093,6.81901547
5,5.05171369,4.9456932,8.28946489
6,3.30536998,2.79231825,5.58638888
7,3.95156797,3.6962259,4.78692554
8,5.22051162,4.34063456,3.48827944
9,4.21618711,3.3205904,3.95850904
