activity,x,y,z
0,3.51498528,3.86118413,5.68064439
1,5.72912969,7.6352311,6.70124474
2,7.51133811,5.76158009,6.07233419
3,9.88723314,5.65758877,7.4538283
4,6.58944275,7.12138811,7.15164327
5,8.84754909,6.35002918,5.08342523
6,4.55208729,3.41295256,7.35679363
7,3.38484526,4.88672602,4.99511922
8,4.74644133,4.22192532,4.64059665
9,3.65983589,4.60804728,4.09136425
