activity,x,y,z
0,-3.3349597,-3.7794957,-4.47117615
1,-7.24345676,-5.7416757,-5.20020548
2,-7.38652917,-6.54590022,-6.75210488
3,-6.53112184,-8.56055314,-7.74667871
4,-6.83350032,-8.64731226,-8.00884159
5,-6.49540409,-5.1186488,-6.07241354
6,-4.06443731,-3.51766583,-6.13767493
7,-4.68095924,-3.85143685,-6.79636268
8,-4.60432449,-3.46847723,-5.32809857
9,-4.54750574,-3.06017506,-5.70966963
